name|female|birthdate|birthplace|link
Rami Malek|False|1981-05-12|['Torrance, California', ', U.S.']|https://en.wikipedia.org/wiki/Rami_Malek
Reika Kirishima|True|1972-08-05|['Niigata Prefecture', ', Japan']|https://en.wikipedia.org/wiki/Reika_Kirishima
Léa Seydoux|True|1985-07-01|['Paris', ', France']|https://en.wikipedia.org/wiki/L%C3%A9a_Seydoux
Jason Momoa|False|1979-08-01|['Honolulu', ', ', 'Hawaii', ', U.S.']|https://en.wikipedia.org/wiki/Jason_Momoa
Jude Hill|False||['Gilford, County Down', ', Northern Ireland']|https://en.wikipedia.org/wiki/Jude_Hill
Christoph Waltz|False|1956-10-04|['Vienna', ', Austria']|https://en.wikipedia.org/wiki/Christoph_Waltz
Thomasin McKenzie|True|2000-07-26|['Wellington', ', New Zealand']|https://en.wikipedia.org/wiki/Thomasin_McKenzie
Emily Beecham|True|1984-05-12|['Wythenshawe', ', ', 'Manchester', ', England']|https://en.wikipedia.org/wiki/Emily_Beecham
Anthony Hopkins|False|1937-12-31|['Port Talbot', ', ', 'Glamorgan', ', Wales']|https://en.wikipedia.org/wiki/Anthony_Hopkins
Olivia Colman|True|1974-01-30|['Norwich', ', ', 'Norfolk', ', England']|https://en.wikipedia.org/wiki/Olivia_Colman
Jessica Darrow|True|1995-01-07|['Miami, Florida', ', U.S.']|https://en.wikipedia.org/wiki/Jessica_Darrow
Demi Singleton|True|2007-02-27|['Baton Rouge, Louisiana', ', U.S.']|https://en.wikipedia.org/wiki/Demi_Singleton
David Strathairn|False|1949-01-26|['San Francisco, California, U.S.']|https://en.wikipedia.org/wiki/David_Strathairn
Charlotte Rampling|True|1946-02-05|['Sturmer, Essex', ', England']|https://en.wikipedia.org/wiki/Charlotte_Rampling
Josie Walker|True||['Belfast', ',', ' ', 'Northern Ireland']|https://en.wikipedia.org/wiki/Josie_Walker
Rachel Zegler|True|2001-05-03|['Hackensack, New Jersey']|https://en.wikipedia.org/wiki/Rachel_Zegler
Jeffrey Wright|False|1965-12-07|['Washington, D.C.', ', U.S.']|https://en.wikipedia.org/wiki/Jeffrey_Wright
Imogen Poots|True|1989-06-03|['Hammersmith', ', London, England']|https://en.wikipedia.org/wiki/Imogen_Poots
Keith Carradine|False|1949-08-08|['San Mateo, California', ', U.S.']|https://en.wikipedia.org/wiki/Keith_Carradine
Mark Strong|False|1963-08-05|['London', ', England']|https://en.wikipedia.org/wiki/Mark_Strong
Carolina Gaitán|True|1984-04-04|['Villavicencio', ', Colombia']|https://en.wikipedia.org/wiki/Carolina_Gait%C3%A1n
Jon Bernthal|False|1976-09-20|['Washington, D.C.', ', U.S.']|https://en.wikipedia.org/wiki/Jon_Bernthal
Wilmer Valderrama|False|1980-01-30|['Miami', ', ', 'Florida', ', U.S.']|https://en.wikipedia.org/wiki/Wilmer_Valderrama
Rufus Sewell|False|1967-10-29|['Hammersmith', ', ', 'London', ', England']|https://en.wikipedia.org/wiki/Rufus_Sewell
Olivia Williams|True|1968-07-26|['North London', ', England']|https://en.wikipedia.org/wiki/Olivia_Williams
Frances Conroy|True||['Monroe', ', ', 'Georgia', ', U.S.']|https://en.wikipedia.org/wiki/Frances_Conroy
Diane Guerrero|True|1986-07-21|['Passaic, New Jersey', ', U.S.']|https://en.wikipedia.org/wiki/Diane_Guerrero
Mark Gatiss|False|1966-10-17|['Sedgefield', ', ', 'County Durham', ', England']|https://en.wikipedia.org/wiki/Mark_Gatiss
Carey Mulligan|True|1985-05-28|['London, England']|https://en.wikipedia.org/wiki/Carey_Mulligan
Bo Burnham|False||['Hamilton, Massachusetts', ', U.S.']|https://en.wikipedia.org/wiki/Bo_Burnham
Alison Brie|True|1982-12-29|['Hollywood, California', ', U.S.']|https://en.wikipedia.org/wiki/Alison_Brie
Clancy Brown|False|1959-01-05|['Urbana, Ohio', ', U.S.']|https://en.wikipedia.org/wiki/Clancy_Brown
Chris Lowell|False|1984-10-17|['Atlanta', ', ', 'Georgia', ', U.S.']|https://en.wikipedia.org/wiki/Chris_Lowell
Glynn Turman|False|1947-01-31|['New York City, U.S.']|https://en.wikipedia.org/wiki/Glynn_Turman
Chadwick Boseman|False|1976-11-29|['Anderson, South Carolina', ', U.S.']|https://en.wikipedia.org/wiki/Chadwick_Boseman
Viola Davis|True|1965-08-11|['St. Matthews, South Carolina', ', U.S.']|https://en.wikipedia.org/wiki/Viola_Davis
Jennifer Coolidge|True|1961-08-28|['Boston', ', ', 'Massachusetts', ', U.S.']|https://en.wikipedia.org/wiki/Jennifer_Coolidge
Javier Bardem|False|1969-03-01|['Las Palmas', ', ', 'Canary Islands', ', Spain']|https://en.wikipedia.org/wiki/Javier_Bardem
Michael Potts (actor)|False|1962-09-21|['Brooklyn', ', ', 'New York', ', ', 'U.S.']|https://en.wikipedia.org/wiki/Michael_Potts_(actor)
Laverne Cox|True|1972-05-29|['Mobile, Alabama', ', U.S.']|https://en.wikipedia.org/wiki/Laverne_Cox
Connie Britton|True|1967-03-06|['Boston', ', ', 'Massachusetts', ', U.S.']|https://en.wikipedia.org/wiki/Connie_Britton
Tina Fey|True|1970-05-18|['Upper Darby Township, Pennsylvania', ', U.S.']|https://en.wikipedia.org/wiki/Tina_Fey
Molly Shannon|True|1964-09-16|['Cleveland, Ohio', ', U.S.']|https://en.wikipedia.org/wiki/Molly_Shannon
Rachel House (actress)|True|1971-10-20|['Auckland', ', New Zealand']|https://en.wikipedia.org/wiki/Rachel_House_(actress)
Magnus Millang|False||[]|https://en.wikipedia.org/wiki/Magnus_Millang
Jamie Foxx|False|1967-12-13|['Terrell, Texas', ', U.S.']|https://en.wikipedia.org/wiki/Jamie_Foxx
Alice Braga|True|1983-04-15|['São Paulo', ', Brazil']|https://en.wikipedia.org/wiki/Alice_Braga
Lars Ranthe|False|1969-08-26|['Vesterbro, Copenhagen', ', Denmark']|https://en.wikipedia.org/wiki/Lars_Ranthe
Phylicia Rashad|True|1948-06-19|['Houston, Texas', ', U.S.']|https://en.wikipedia.org/wiki/Phylicia_Rashad
Elizabeth Debicki|True|1990-08-24|['Paris', ', ', 'France']|https://en.wikipedia.org/wiki/Elizabeth_Debicki
Christian Bale|False|1974-01-30|['Haverfordwest', ', Wales, United Kingdom']|https://en.wikipedia.org/wiki/Christian_Bale
Matt Damon|False|1970-10-08|['Cambridge, Massachusetts', ', US']|https://en.wikipedia.org/wiki/Matt_Damon
Song Kang-ho|False|1967-01-17|['Gimhae', ', ', 'South Gyeongsang', ', South Korea']|https://en.wikipedia.org/wiki/Song_Kang-ho
Josh Lucas|False|1971-06-20|['Little Rock', ', ', 'Arkansas', ', U.S.']|https://en.wikipedia.org/wiki/Josh_Lucas
Eliza Scanlen|True|1999-01-06|['Sydney', ', ', 'New South Wales', ', Australia']|https://en.wikipedia.org/wiki/Eliza_Scanlen
Roman Griffin Davis|False|2007-03-05|['London', ', England']|https://en.wikipedia.org/wiki/Roman_Griffin_Davis
Jang Hye-jin (actress)|True|1975-09-05|['Busan', ', ', 'South Korea']|https://en.wikipedia.org/wiki/Jang_Hye-jin_(actress)
Alan Alda|False|1936-01-28|['The Bronx', ', New York, U.S.']|https://en.wikipedia.org/wiki/Alan_Alda
Laura Dern|True|1967-02-10|['Los Angeles', ', ', 'California', ', U.S.']|https://en.wikipedia.org/wiki/Laura_Dern
Park So-dam|True|1991-09-08|['South Korea']|https://en.wikipedia.org/wiki/Park_So-dam
Florence Pugh|True|1996-01-03|['Oxford', ', England']|https://en.wikipedia.org/wiki/Florence_Pugh
Adam Driver|False|1983-11-19|['San Diego', ', ', 'California', ', U.S.']|https://en.wikipedia.org/wiki/Adam_Driver
Angela Bassett|True|1958-08-16|['New York City, U.S.']|https://en.wikipedia.org/wiki/Angela_Bassett
Tracy Letts|False|1965-07-04|['Tulsa, Oklahoma', ', U.S.']|https://en.wikipedia.org/wiki/Tracy_Letts
Kenneth Branagh|False|1960-12-10|['Belfast', ', Northern Ireland']|https://en.wikipedia.org/wiki/Kenneth_Branagh
Scarlett Johansson|True|1984-11-22|['New York City', ', U.S.']|https://en.wikipedia.org/wiki/Scarlett_Johansson
Julie Hagerty|True|1955-06-15|['Cincinnati, Ohio', ', U.S.']|https://en.wikipedia.org/wiki/Julie_Hagerty
Stephen Merchant|False|1974-11-24|['Bristol', ', England']|https://en.wikipedia.org/wiki/Stephen_Merchant
Zazie Beetz|True|1991-06-01|['Berlin', ', Germany']|https://en.wikipedia.org/wiki/Zazie_Beetz
Ray Liotta|False|1954-12-18|['Newark, New Jersey', ', U.S.']|https://en.wikipedia.org/wiki/Ray_Liotta
Merritt Wever|True|1980-08-11|['New York City, U.S.']|https://en.wikipedia.org/wiki/Merritt_Wever
Alfie Allen|False|1986-09-12|['Hammersmith, London', ', England']|https://en.wikipedia.org/wiki/Alfie_Allen
Meryl Streep|True|1949-06-22|['Summit, New Jersey', ', U.S.']|https://en.wikipedia.org/wiki/Meryl_Streep
Bob Odenkirk|False|1962-10-22|['Berwyn, Illinois', ', U.S.']|https://en.wikipedia.org/wiki/Bob_Odenkirk
Sam Rockwell|False|1968-11-05|['Daly City, California', ', U.S.']|https://en.wikipedia.org/wiki/Sam_Rockwell
James Norton (actor)|False|1985-07-18|['Lambeth', ', ', 'London', ', England', '[1]']|https://en.wikipedia.org/wiki/James_Norton_(actor)
Louis Garrel|False|1983-06-14|['Paris', ', France']|https://en.wikipedia.org/wiki/Louis_Garrel
Kate McKinnon|True|1984-01-06|['Sea Cliff, New York', ', U.S.']|https://en.wikipedia.org/wiki/Kate_McKinnon
Richard Madden|False|1986-06-18|['Elderslie', ', ', 'Renfrewshire', ', Scotland']|https://en.wikipedia.org/wiki/Richard_Madden
Chris Cooper|False|1951-07-09|['Kansas City, Missouri', ', U.S.']|https://en.wikipedia.org/wiki/Chris_Cooper
Bryce Dallas Howard|True|1981-03-02|['Los Angeles', ', ', 'California', ', U.S.']|https://en.wikipedia.org/wiki/Bryce_Dallas_Howard
John Lithgow|False|1945-10-19|['Rochester, New York', ', U.S.']|https://en.wikipedia.org/wiki/John_Lithgow
Malcolm McDowell|False|1943-06-13|['Horsforth', ', ', 'Yorkshire', ', England']|https://en.wikipedia.org/wiki/Malcolm_McDowell
Jessie Buckley|True|1989-12-28|['Killarney', ', ', 'Kerry', ', Ireland']|https://en.wikipedia.org/wiki/Jessie_Buckley
Allison Janney|True|1959-11-19|['Boston', ', ', 'Massachusetts', ', U.S.']|https://en.wikipedia.org/wiki/Allison_Janney
Finn Wittrock|False|1984-10-28|['Lenox, Massachusetts', ', U.S.']|https://en.wikipedia.org/wiki/Finn_Wittrock
Michael Gambon|False|1940-10-19|['Dublin', ', ', 'Ireland']|https://en.wikipedia.org/wiki/Michael_Gambon
Issa Rae|True|1985-01-12|['Los Angeles', ', ', 'California', ', U.S.']|https://en.wikipedia.org/wiki/Issa_Rae
Margot Robbie|True|1990-07-02|['Dalby, Queensland', ', Australia']|https://en.wikipedia.org/wiki/Margot_Robbie
Marina de Tavira|True|1974-11-21|['Mexico City', ', Mexico']|https://en.wikipedia.org/wiki/Marina_de_Tavira
Renée Zellweger|True|1969-04-25|['Katy, Texas', ', U.S.']|https://en.wikipedia.org/wiki/Ren%C3%A9e_Zellweger
Yalitza Aparicio|True|1993-12-11|['Tlaxiaco', ', ', 'Oaxaca', ', Mexico']|https://en.wikipedia.org/wiki/Yalitza_Aparicio
Jamie Bell|False|1986-03-14|['Billingham', ', ', 'County Durham', ', England']|https://en.wikipedia.org/wiki/Jamie_Bell
Taron Egerton|False|1989-11-10|['Birkenhead', ', ', 'Merseyside', ', England']|https://en.wikipedia.org/wiki/Taron_Egerton
Lucy Boynton|True|1994-01-17|['New York City, U.S.']|https://en.wikipedia.org/wiki/Lucy_Boynton
Ben Hardy (actor)|False|1991-01-02|['Bournemouth', ', ', 'Dorset', ', England']|https://en.wikipedia.org/wiki/Ben_Hardy_(actor)
Nicole Kidman|True|1967-06-20|['Honolulu', ', Hawaii, U.S.']|https://en.wikipedia.org/wiki/Nicole_Kidman
Lupita Nyong'o|True|1983-03-01|['Mexico City', ', Mexico']|https://en.wikipedia.org/wiki/Lupita_Nyong%27o
Amy Adams|True|1974-08-20|['Vicenza', ', Italy']|https://en.wikipedia.org/wiki/Amy_Adams
Michael B. Jordan|False|1987-02-09|['Santa Ana, California', ', U.S.']|https://en.wikipedia.org/wiki/Michael_B._Jordan
Gwilym Lee|False|1983-11-24|['Bristol', ', England']|https://en.wikipedia.org/wiki/Gwilym_Lee
Danai Gurira|True|1978-02-14|['Grinnell, Iowa', ', U.S.']|https://en.wikipedia.org/wiki/Danai_Gurira
Joseph Mazzello|False|1983-09-21|['Rhinebeck, New York', ', U.S.']|https://en.wikipedia.org/wiki/Joseph_Mazzello
Andrew Dice Clay|False|1957-09-29|[]|https://en.wikipedia.org/wiki/Andrew_Dice_Clay
Martin Freeman|False|1971-09-08|['Aldershot', ', ', 'Hampshire', ', England']|https://en.wikipedia.org/wiki/Martin_Freeman
Arunachalam Muruganantham|False|1961-10-12|['Coimbatore', ', ', 'Tamil Nadu', ', ', 'India']|https://en.wikipedia.org/wiki/Arunachalam_Muruganantham
Jonathan Tucker|False|1982-05-31|['Boston', ', ', 'Massachusetts', ', U.S.']|https://en.wikipedia.org/wiki/Jonathan_Tucker
Lady Gaga|True|1986-03-28|['New York City, U.S.']|https://en.wikipedia.org/wiki/Lady_Gaga
Dave Franco|False|1985-06-12|['Palo Alto, California', ', U.S.']|https://en.wikipedia.org/wiki/Dave_Franco
Mahershala Ali|False|1974-02-16|['Oakland, California', ', U.S.', '[1]']|https://en.wikipedia.org/wiki/Mahershala_Ali
Forest Whitaker|False|1961-07-15|['Longview, Texas', ', U.S.']|https://en.wikipedia.org/wiki/Forest_Whitaker
Michael Beach|False|1963-10-30|['Roxbury, Massachusetts', ', U.S.']|https://en.wikipedia.org/wiki/Michael_Beach
Christopher Abbott|False|1986-02-01|['Greenwich, Connecticut', ', U.S.']|https://en.wikipedia.org/wiki/Christopher_Abbott
Jackson Robert Scott|False|2008-09-18|['Phoenix', ', ', 'Arizona', ', U.S.']|https://en.wikipedia.org/wiki/Jackson_Robert_Scott
Danielle Macdonald|True|1991-05-19|['Sydney, New South Wales', ', Australia']|https://en.wikipedia.org/wiki/Danielle_Macdonald
Viggo Mortensen|False|1958-10-20|['Watertown, New York', ', U.S.']|https://en.wikipedia.org/wiki/Viggo_Mortensen
Winston Duke|False|1986-11-15|['Argyle, Saint Paul, ', 'Trinidad and Tobago']|https://en.wikipedia.org/wiki/Winston_Duke
Teyonah Parris|True||['Hopkins, South Carolina', ', U.S.']|https://en.wikipedia.org/wiki/Teyonah_Parris
Richard Jenkins|False|1947-05-04|['DeKalb, Illinois', ', U.S.']|https://en.wikipedia.org/wiki/Richard_Jenkins
Brian Tyree Henry|False|1982-03-31|['Fayetteville, North Carolina', ', U.S.']|https://en.wikipedia.org/wiki/Brian_Tyree_Henry
Doug Jones (actor)|False|1960-05-24|['Indianapolis', ', ', 'Indiana', ', U.S.']|https://en.wikipedia.org/wiki/Doug_Jones_(actor)
Ed Skrein|False|1983-03-29|['Camden', ', London, England']|https://en.wikipedia.org/wiki/Ed_Skrein
Hailee Steinfeld|True|1996-12-11|['Tarzana, California', ', U.S.']|https://en.wikipedia.org/wiki/Hailee_Steinfeld
Pedro Pascal|False|1975-04-02|['Santiago', ', Chile']|https://en.wikipedia.org/wiki/Pedro_Pascal
Michael Shannon|False|1974-08-07|['Lexington', ', ', 'Kentucky', ', U.S.']|https://en.wikipedia.org/wiki/Michael_Shannon
Sally Hawkins|True|1976-04-27|['Dulwich', ', ', 'London', ', England']|https://en.wikipedia.org/wiki/Sally_Hawkins
Jake Johnson|False|1978-05-28|['Evanston, Illinois', ', U.S.']|https://en.wikipedia.org/wiki/Jake_Johnson
Shameik Moore|False|1995-05-04|['Atlanta', ', ', 'Georgia', ', U.S.']|https://en.wikipedia.org/wiki/Shameik_Moore
Andy Serkis|False|1964-04-20|['Ruislip Manor', ', ', 'Middlesex', ', England']|https://en.wikipedia.org/wiki/Andy_Serkis
Diego Luna|False|1979-12-29|['Toluca', ', Mexico']|https://en.wikipedia.org/wiki/Diego_Luna
Lauren Vélez|True|1964-11-02|['Brooklyn, New York', ', U.S.']|https://en.wikipedia.org/wiki/Lauren_V%C3%A9lez
Benjamin Bratt|False|1963-12-16|['San Francisco', ', ', 'California', ', U.S.']|https://en.wikipedia.org/wiki/Benjamin_Bratt
Octavia Spencer|True|1970-05-25|['Montgomery, Alabama', ', U.S.']|https://en.wikipedia.org/wiki/Octavia_Spencer
Lily Tomlin|True|1939-09-01|[]|https://en.wikipedia.org/wiki/Lily_Tomlin
Harrison Ford|False|1942-07-13|['Chicago', ', ', 'Illinois', ', U.S.']|https://en.wikipedia.org/wiki/Harrison_Ford
Sylvia Hoeks|True|1983-06-01|['Maarheeze', ', ', 'North Brabant', ', Netherlands']|https://en.wikipedia.org/wiki/Sylvia_Hoeks
John Mulaney|False|1982-08-26|[]|https://en.wikipedia.org/wiki/John_Mulaney
Ronald Pickup|False|1940-06-07|['Chester', ', ', 'Cheshire', ', England']|https://en.wikipedia.org/wiki/Ronald_Pickup
Ben Mendelsohn|False|1969-04-03|['Melbourne', ', ', 'Victoria', ', Australia']|https://en.wikipedia.org/wiki/Ben_Mendelsohn
Vicky Krieps|True|1983-10-04|['Luxembourg City', ', ', 'Luxembourg']|https://en.wikipedia.org/wiki/Vicky_Krieps
Stephen Root|False|1951-11-17|['Sarasota, Florida', ', U.S.']|https://en.wikipedia.org/wiki/Stephen_Root
Amira Casar|True||['London', ', England']|https://en.wikipedia.org/wiki/Amira_Casar
Jared Leto|False|1971-12-26|['Bossier City, Louisiana', ', U.S.']|https://en.wikipedia.org/wiki/Jared_Leto
Caleb Landry Jones|False|1989-12-07|['Garland, Texas', ', U.S.']|https://en.wikipedia.org/wiki/Caleb_Landry_Jones
Bobby Cannavale|False|1970-05-03|['Union City, New Jersey', ', U.S.']|https://en.wikipedia.org/wiki/Bobby_Cannavale
Lesley Manville|True|1956-03-12|['Brighton', ', ', 'East Sussex', ', England']|https://en.wikipedia.org/wiki/Lesley_Manville
Liev Schreiber|False|1967-10-04|['San Francisco, California', ', U.S.']|https://en.wikipedia.org/wiki/Liev_Schreiber
Lennie James|False|1965-10-11|['Nottingham', ', ', 'Nottinghamshire', ', England']|https://en.wikipedia.org/wiki/Lennie_James
Daniel Day-Lewis|False|1957-04-29|['London, England']|https://en.wikipedia.org/wiki/Daniel_Day-Lewis
Edward James Olmos|False|1947-02-24|['East Los Angeles', ', ', 'California', ', U.S.']|https://en.wikipedia.org/wiki/Edward_James_Olmos
Esther Garrel|True|1991-02-18|['Paris', ', France']|https://en.wikipedia.org/wiki/Esther_Garrel
Catherine Keener|True|1959-03-26|['Miami', ', ', 'Florida', ', U.S.']|https://en.wikipedia.org/wiki/Catherine_Keener
Francisco Reyes Morandé|False|1954-07-06|['Santiago', ', ', 'Chile']|https://en.wikipedia.org/wiki/Francisco_Reyes_Morand%C3%A9
Daniela Vega|True|1989-06-03|['San Miguel', ', ', 'Santiago Province', ', Chile']|https://en.wikipedia.org/wiki/Daniela_Vega
Armie Hammer|False|1986-08-28|['Santa Monica, California', ', U.S.']|https://en.wikipedia.org/wiki/Armie_Hammer
Victoire Du Bois|True||['Nantes', ', France']|https://en.wikipedia.org/wiki/Victoire_Du_Bois
Stephen Dillane|False|1957-03-27|['London', ', England, UK']|https://en.wikipedia.org/wiki/Stephen_Dillane
Bradley Whitford|False|1959-10-10|['Madison, Wisconsin', ', U.S.']|https://en.wikipedia.org/wiki/Bradley_Whitford
Julianne Nicholson|True|1971-07-01|['Medford', ', ', 'Massachusetts', ', U.S.']|https://en.wikipedia.org/wiki/Julianne_Nicholson
Sam Worthington|False|1976-08-02|['Godalming', ', ', 'Surrey', ', England']|https://en.wikipedia.org/wiki/Sam_Worthington
Luke Bracey|False|1989-04-26|['Sydney', ', ', 'New South Wales', ', Australia']|https://en.wikipedia.org/wiki/Luke_Bracey
Nicolas Cage|False|1964-01-07|['Long Beach, California', ', U.S.']|https://en.wikipedia.org/wiki/Nicolas_Cage
Mackenzie Davis|True|1987-04-01|['Vancouver, British Columbia', ', Canada']|https://en.wikipedia.org/wiki/Mackenzie_Davis
Teresa Palmer|True|1986-02-26|['Adelaide', ', Australia']|https://en.wikipedia.org/wiki/Teresa_Palmer
Ana Ofelia Murguía|True|1933-12-08|['Mexico City', ', Mexico']|https://en.wikipedia.org/wiki/Ana_Ofelia_Murgu%C3%ADa
Rosemarie DeWitt|True|1971-10-26|['Flushing, Queens', ', ', 'New York', ', U.S.']|https://en.wikipedia.org/wiki/Rosemarie_DeWitt
John Legend|False|1978-12-28|['Springfield, Ohio', ', U.S.']|https://en.wikipedia.org/wiki/John_Legend
Hugo Weaving|False|1960-04-04|['Ibadan', ', ', 'British Nigeria']|https://en.wikipedia.org/wiki/Hugo_Weaving
André Holland|False|1979-12-28|['Bessemer, Alabama', ', U.S.']|https://en.wikipedia.org/wiki/Andr%C3%A9_Holland
Rachel Griffiths|True||['Melbourne', ', ', 'Victoria', ', Australia', '[a]']|https://en.wikipedia.org/wiki/Rachel_Griffiths
J. K. Simmons|False|1955-01-09|['Grosse Pointe, Michigan', ', U.S.']|https://en.wikipedia.org/wiki/J._K._Simmons
Vince Vaughn|False|1970-03-28|['Minneapolis', ', ', 'Minnesota', ', U.S.']|https://en.wikipedia.org/wiki/Vince_Vaughn
Ashton Sanders|False|1995-10-24|['Carson, California', ', U.S.']|https://en.wikipedia.org/wiki/Ashton_Sanders
Jeremy Renner|False|1971-01-07|['Modesto, California', ', U.S.']|https://en.wikipedia.org/wiki/Jeremy_Renner
Jharrel Jerome|False|1997-10-09|['New York City', ', U.S.']|https://en.wikipedia.org/wiki/Jharrel_Jerome
Jovan Adepo|False|1988-09-06|['Upper Heyford, Oxfordshire', ', England']|https://en.wikipedia.org/wiki/Jovan_Adepo
Lucas Hedges|False|1996-12-12|['Brooklyn Heights, New York', ', U.S.']|https://en.wikipedia.org/wiki/Lucas_Hedges
Trevante Rhodes|False|1990-02-10|['Ponchatoula, Louisiana', ', U.S.']|https://en.wikipedia.org/wiki/Trevante_Rhodes
Tzi Ma|False|1962-06-10|['British Hong Kong']|https://en.wikipedia.org/wiki/Tzi_Ma
Janelle Monáe|True|1985-12-01|[]|https://en.wikipedia.org/wiki/Janelle_Mon%C3%A1e
Michelle Williams (actress)|True|1980-09-09|['Kalispell, Montana', ', U.S.']|https://en.wikipedia.org/wiki/Michelle_Williams_(actress)
Casey Affleck|False|1975-08-12|['Falmouth, Massachusetts', ', U.S.']|https://en.wikipedia.org/wiki/Casey_Affleck
Mykelti Williamson|False|1957-03-04|['St. Louis, Missouri', ', U.S.']|https://en.wikipedia.org/wiki/Mykelti_Williamson
Dan Fogler|False|1976-10-20|['Brooklyn', ', ', 'New York', ', U.S.']|https://en.wikipedia.org/wiki/Dan_Fogler
Ben Kingsley|False|1943-12-31|['Snainton', ', ', 'North Riding of Yorkshire', ', England']|https://en.wikipedia.org/wiki/Ben_Kingsley
Alison Sudol|True|1984-12-23|['Seattle, Washington', ', U.S.']|https://en.wikipedia.org/wiki/Alison_Sudol
Bill Murray|False|1950-09-21|['Evanston, Illinois', ', U.S.', '[1]']|https://en.wikipedia.org/wiki/Bill_Murray
Idris Elba|False|1972-09-06|['London', ', England']|https://en.wikipedia.org/wiki/Idris_Elba
Ezra Miller|False|1992-09-30|['Wyckoff, New Jersey', ', U.S.']|https://en.wikipedia.org/wiki/Ezra_Miller
Taraneh Alidoosti|True|1984-01-12|['Tehran', ', Iran']|https://en.wikipedia.org/wiki/Taraneh_Alidoosti
Shahab Hosseini|False|1974-02-03|['Tehran', ', Iran']|https://en.wikipedia.org/wiki/Shahab_Hosseini
Russell Hornsby|False|1974-05-15|['San Francisco', ', ', 'California', ', U.S.']|https://en.wikipedia.org/wiki/Russell_Hornsby
Giancarlo Esposito|False|1958-04-26|['Copenhagen', ', Denmark']|https://en.wikipedia.org/wiki/Giancarlo_Esposito
Samantha Morton|True|1977-05-13|['Nottingham', ', ', 'Nottinghamshire', ', England']|https://en.wikipedia.org/wiki/Samantha_Morton
Christopher Walken|False|1943-03-31|['New York City, U.S.']|https://en.wikipedia.org/wiki/Christopher_Walken
Ron Perlman|False|1950-04-13|['Manhattan', ', New York, U.S.', '[1]']|https://en.wikipedia.org/wiki/Ron_Perlman
Joel Kinnaman|False|1979-11-25|['Stockholm', ', Sweden']|https://en.wikipedia.org/wiki/Joel_Kinnaman
Carmen Ejogo|True|1973-10-22|['Kensington, London', ', England']|https://en.wikipedia.org/wiki/Carmen_Ejogo
Jon Voight|False|1938-12-29|['Yonkers, New York', ', U.S.']|https://en.wikipedia.org/wiki/Jon_Voight
Will Smith|False|1968-09-25|['Philadelphia, Pennsylvania', ', U.S.']|https://en.wikipedia.org/wiki/Will_Smith
Jay Hernandez|False|1978-02-20|['Montebello', ', ', 'California', ',  U.S.']|https://en.wikipedia.org/wiki/Jay_Hernandez
Nicholas Hoult|False|1989-12-07|['Wokingham', ', ', 'Berkshire', ', England']|https://en.wikipedia.org/wiki/Nicholas_Hoult
Colin Farrell|False|1976-05-31|['Castleknock', ', ', 'Dublin', ', Ireland']|https://en.wikipedia.org/wiki/Colin_Farrell
Mark Rylance|False|1960-01-18|['Ashford', ', ', 'Kent', ', England']|https://en.wikipedia.org/wiki/Mark_Rylance
